Titlu,Descriere,Categorie
Burse postdoctorale Fulbright Senior,"Au început înscrierile pentru programul postdoctoral Fulbright Senior Award, anul academic 2014-2015. Acest program se adresează cadrelor didactice şi cercetătorilor din universităţi şi institute de cercetare, care intenţionează să predea şi/sau să realizeze studii şi cercetări în mediul academic american. Mai multe detalii puteţi găsi în anunţul publicat de Fulbright Romania. &#160;",CERCETARE - COOPERARE
Absolvenţi UPT – dublu succes la International Engineering Competition 2013 Canada,"&#160; Radu DORGO, Andrei LAZĂR, Adrian MIHAI și Ovidiu MIHUȚESCU (RAAO), patru proaspăt absolvenți ai Facultății de Arhitectură, au reușit performanța de a obţine la International Engineering Competition, în Calgary, Canada, atât Locul I pentru design cât și Premiul special pentru inovație oferit de Shell, sponsorul principal al competiției. Proba concursului canadian de inginerie a [...]",EVENIMENT
Doctorand UPT ia premiul I în Serbia,"Dragoş Ursu, doctorand în cadrul Departamentului de Inginerie Electrică, Facultatea de Electrotehnică și Electroenergetică, a câştigat premiul I la 7th International PHD Seminar on Computation Electromagnetics and Bioeffects of Electromagnetic Fields, CEMBEF 2013. La competiția desfășurată la Nis, Serbia, au participat 50 de doctoranzi din 7 țări. Seminarul științific a fost organizat de Universitatea Tehnică [...]",EVENIMENT
Seminar tehnic la Facultatea de Construcţii,"La Facultatea de Construcţii va avea loc miercuri, 16.10.2013, orele 15:00, în Amfiteatrul Constantin Avram, seminarul tehnic Fundaţii Speciale – experienţă şi tehnologii. Seminarul este organizat de către Departamentul de Căi de Comunicație Terestre, Fundații și Cadastru, S.C. Terratest Geotehnic S.A. Bucureşti şi Societatea Română de Geotehnică și Fundații Filiala Timişoara. &#160;",EVENIMENT
Programul Horizon 2020,"De curând s-a lansat o nouă oportunitate de finanţare a activităţilor de cercetare, oportunitate pe care universităţile o pot valorifica având aplicabilitate directă în cele mai variate domenii. Dincolo de posibilitatea de a depune proiecte de cercetare în nume propriu, UPT poate accede la aceste fonduri şi ca partener al unor companii private sau în [...]",CERCETARE - COOPERARE
12th International Symposium in Management,"Facultatea de Management în Producţie şi Transporturi co-organizează conferința cu titlul SIM 2013: 12th International Symposium in Management. Manifestarea ştiinţifică se va desfăşura la Timișoara, în perioada 11-12 octombrie 2013. Mai multe informaţii puteţi afla la adresa http://www.sim2013.org/.",EVENIMENT
Free trial Citation Connection,"În cadrul consorţiului Anelis plus, Thomson Reuters oferă posibilitatea de a accesa, în perioada 20.11.2013 – 10.12.2013, următoarele resurse suplimentare faţă de abonamentul WOK, aflat in derulare: Web of Science: - Book Citation Index - Science: 2005-prezent - Social Science &#38; Humanities: 2005-prezent Current Chemical Reactions (CCR): 1986-prezent Index Chemicus (IC): 1993-prezent 2. BIOSIS Citation Index: 1969-prezent 3. [...]",CERCETARE - COOPERARE
Puls european în UPT,"Facultatea de Științe ale Comunicării în parteneriat cu Centrul de Informare Europe Direct Timișoara a organizat luni, 25 noiembrie 2013, un seminar de informare dedicat studenților. Evenimentul „Design your future” a răspuns unor întrebări precum: -          Ce este democrația participativă? -          Care sunt propunerile UE pentru soluționarea șomajului în rândul tinerilor? -          Ce este garanția [...]",EVENIMENT
Burse private Continental,"Continental Automotive România propune în fiecare an universitar o serie de burse private studenților de la Facultățile de Automatică și Calculatoare, respectiv Electronică și Telecomunicații. Anul acesta profilurile pentru care se oferă burse sunt: programare embedded și orientată pe obiect, electronică și algoritmi. Studenții interesați pot trimite CV-uri la adresa ioana.trailescu@continental-corporation.com, până pe 2 decembrie 2013.",DIDACTIC
ContiTEST,"Marți, 19.11.2013, Continental Corporation invită studenții Facultății de Mecanică la ContiTEST. Competiția pentru studenți și masteranzi debutează la ora 17:00 și cuprinde o prezentare a companiei, concursul propriu-zis, afișarea rezultatelor și decernarea premiilor.",EVENIMENT
Universitatea Politehnica la ceas aniversar,"La 11 noiembrie 1923, se inaugura primul pavilion al Școlii Politehnice. La inaugurare au participat Regele Ferdinand I și Regina Maria, precum și primarul Timișoarei, Stan Vidrighin, cel care a sprijinit proiectul prin cedarea terenului pe care au fost ridicate pavilionul de electromecanică, căminul 1MV și fosta cantină. În cadrul „Săptămânii Politehnicii”, evenimentul este marcat [...]",EVENIMENT
"Întâlnire cu Christian Senger, Director Tehnic la Continental Corporation","Christian Senger, Head of Systems and Technology la Continental Corporation, vizitează Universitatea Politehnica Timişoara marți, 5 noiembrie 2013. Cu începere de la ora 10:00 se va întâlni cu studenți de la Facultățile de Automatică și Calculatoare respectiv Electronică şi Telecomunicaţii, în amfiteatrul Alexandru Rogojan (D1). Tema prezentării susţinute de Christian Senger este AUTOMATED DRIVE.",EVENIMENT
Open Data Workshop la UPT,"În data de 24 octombrie 2013, în Sala Mică a Senatului, s-a desfăşurat Workshop-ul Open Data. Acesta  a avut ca principal scop prezentarea modalității și avantajelor publicării datelor de la nivelul administrației locale, precum și contribuția comunităților IT locale la dezvoltarea de aplicații pentru folosirea acestor date în beneficiul cetățenilor orașului Timișoara. Întâlnirea a fost  inițiată de [...]",CERCETARE - COOPERARE
Absolvent al Facultății de Construcții câştigă locul I în UK,"Lucian-Attila Blaga, absolvent al Facultății de Construcții, secția Inginerie Civilă – Germană, a câștigat locul I la conferința Advanced Composites in Construction, desfășurată în septembrie 2013 la Belfast, Marea Britanie. Premiul a fost câștigat cu lucrarea Friction Riveting of Glass Fibre Reinforced Lightweight Emergency Bridges. &#160;",EVENIMENT
Ghidul programului Erasmus +,"Ghidul programului Erasmus +  este disponibil pe site-ul http://ec.europa.eu/programmes/erasmus-plus/index_en.htm. Universitatea Politehnica Timisoara a primit Carta Erasmus+ -Erasmus Charter for Higher Education- pe perioada 2014-2021, care dă dreptul universităţii să participe în programul Erasmus+. Lista deţinătorilor de ECHE este publicată pe site-ul EACEA. Numărul de cartă al UPT este 49104-LA-1-2014-1-RO-E4AKA1-ECHE. Deîndată ce va fi primit exemplarul oficial indexat, va fi făcut [...]",EVENIMENT
Carta Erasmus+ 2014-2021,"Universitatea Politehnica Timișoara a primit Carta Erasmus+ (Erasmus Charter for Higher Education pe perioada 2014-2021), care dă dreptul universităţii să participe în programul Erasmus+. Lista deţinătorilor de ECHE este publicată pe site-ul EACEA. Numărul de cartă al UPT este 49104-LA-1-2014-1-RO-E4AKA1-ECHE. Deîndată ce va fi primit exemplarul oficial indexat, va fi făcut public pe site-ul universităţii. [...]",CERCETARE - COOPERARE
Best Paper Award la EHB 2013,"La ediţia a IV-a a IEEE INTERNATIONAL CONFERENCE on E-HEALTH AND BIOENGINEERING (EHB 2013, Iaşi, 21 – 23 noiembrie 2013) reprezentanţii Departamentului de Automatică şi Informatică Aplicată al UPT au câştigat „The Best Paper Award”.  Articolul premiat a fost „ICT Solution for Assisted Diagnosis Based on Monitoring in Cardiology Departments”, realizat de către asist. dr. [...]",CERCETARE - COOPERARE
"Ofertele de burse ale Ministerului Educaţiei pentru stagii de studii sau cercetare în străinătate, anul 2014-2015",Comunicat presa lansare concursuri 2014-2015 Formular inscriere concurs 2014-2015 &#8211; acord bilateral sau oferte unilaterale Armenia &#8211; acord bilateral 14-15;  Azerbaidjan &#8211; acord bilateral 14-15; Bulgaria &#8211; acord bilateral 14-15; Cehia &#8211; acord bilateral 14-15; China &#8211; acord bilateral 14-15; Croatia &#8211; acord bilateral 14-15; Grecia &#8211; acord bilateral 14-15; India &#8211; acord bilateral 14-15; [...],CERCETARE - COOPERARE
"Foști studenți, actuali profesioniști CRP","Facultatea de Științe ale Comunicării vă invită să participați la workshop-ul Foști studenți, actuali profesioniști CRP, care va avea loc vineri, 6.12.2013, de la ora 10:00, în amfiteatrul Nicolae Maior (Facultatea de Construcții, parter). Evenimentul are ca scop informarea actualilor studenți cu privire la oportunitățile de carieră în domeniul Comunicării și al relațiilor publice. Specialiștii [...]",EVENIMENT
Serata Dante Aligheri,"Joi 30.01.2014, orele 17:00, în Sala Senatului, are loc conferinţa Le lingue  nazionali nella contesa globale (Limbile naţionale în confruntarea globală), susţinută de către Prof. Riccardo CAMPA, de la Istituto Italo-Latinoamericano, Roma, Italia. “Serata Dante Aligheri” se va încheia cu un moment muzical oferit de flautistul Gianluca VANZELLI.",EVENIMENT
Conferinţă prof.dr. Ion NEDA,"Universitatea Politehnica Timişoara şi Societatea de Chimie din România, Filiala Timişoara, organizează conferinţa: Small bio-active molecules with potential cytostatic activity, susţinută de prof.dr. Ion NEDA de la Universitatea Tehnică din Braunschweig, Germania, profesor onorific al Universităţii Politehnica Timişoara. Manifestarea are loc miercuri, 29 ianuarie 2014, ora 11:00, în  Sala Senatului Universităţii Politehnica Timişoara.",EVENIMENT
Workshop: Licenţe libere şi resurse educaţionale deschise,"Vineri, 17.01.2014, Universitatea Politehnica Timişoara co-organizează workshop-ul pe tema &#8220;Licenţe libere şi resurse educaţionale deschise&#8221;. Manifestarea se va desfăşura la Electro, în sala A109,  între orele 9 -12 şi va fi prezidată de dl. Bogdan Manolea, director al ApTI.",DIDACTIC
"O editură, două cărți, patru autori","Fundaţia Politehnica vă invită la prezentarea volumelor Imaginea universității românești în secolul XXI și vectorii săi, Mariana Cernicova, Mugur Dragomir, Gabriel Țîru, respectiv Identitatea profesională a specialiștilor în relații publice, Adina Palea, apărute la Editura Tritonic din București, în colecția Comunicare – Media. Întâlnirea cu autorii și cu editorul cărților, scriitorul Bogdan Hrib, are loc [...]",EVENIMENT
Programul de burse şi cooperare inter-instituţională,"S-a deschis apelul pentru programul de burse şi cooperare inter-instituţională în domeniul învăţământului superior finanţat prin mecanismul financiar al spaţiului economic european 2009-2014. Proiectele pot fi depuse până luni, 31.03.2014. Mai multe detalii puteti găsi pe site sau în ghidul candidatului.",CERCETARE - COOPERARE
Susţinere teză abilitare Conf. Dr. Ing. Raul Dan ZAHARIA,"&#160; Luni, 03 martie 2014, la ora 11.00, în amfiteatrul Constantin Avram al Facultății de Construcții, str. Traian Lalescu nr. 2A, etaj I, va avea loc susținerea publică a tezei de abilitare cu titlul ,,Fire Design of Civil Engineering Structures&#8221;, elaborată de domnul Conf. Dr. Ing. Raul Dan ZAHARIA. Manifestarea este deschisă publicului.",EVENIMENT
Susţinere teză abilitare Prof. Dr. Ing. Daniel DAN,"Luni, 03 martie 2014, va avea loc susținerea publică a tezei de abilitare cu titlul ,,Contributions to the Behavior of Composite Elements for Buildings Placed in Seismic Areas and High Quality Construction Works Through Monitoring&#8221;, elaborată de domnul Prof. Dr. lng. Daniel &#8211; DAN. Manifestarea va avea loc cu începere de la ora 09.00, în [...]",EVENIMENT
Memoria Palatului Lloyd,"Fundația Politehnica și Universitatea Politehnica Timișoara organizează miercuri, 19 februarie a.c., cu începere de la ora 16:00, un colocviu dedicat evocării evenimentelor petrecute în Palatul Lloyd (actualmente Rectoratul Universităţii Politehnica Timişoara) în perioada primului război mondial, de la debutul căruia se împlinesc 100 de ani. Istoricul Vasile Dudaş va aduce în prim-plan momente inedite din acei ani decisivi pentru soarta [...]",EVENIMENT
Programe Operaţionale 2014-2020,"In data de 29 ianuarie 2014, Ministerul Fondurilor Europene a publicat prima versiune a Programului Operaţional Competitivitate (POC) 2014-2020. Mare parte din obiectivele/priorităţile noului program sunt preluate din Programul Operaţional Sectorial Creşterea Competitivităţii Economice (POSCCE) 2007-2013. Tot miercuri, 29 ianuarie 2014, Ministerul Fondurilor Europene a publicat şi prima versiune a Programului Operaţional Infrastructură Mare (POIM) [...]",CERCETARE - COOPERARE
Calendarul Editurii Politehnica,"Vă prezentăm calendarul Editurii Politehnica pe luna februarie. Menţionăm că Departamentul de Comunicare şi Imagine a marcat pe calendar evenimentele principale ale lunii, despre care veţi primi informaţii suplimentare prin intermediul avizierului electronic.",ALTE ANUNȚURI
Parteneriatele în cercetare şi inovare – calea spre o dezvoltare economică regională,"Centrul de Cercetare în Calculatoare şi Tehnologia Informaţiei, din cadrul Facultăţii de Automatică şi Calculatoare a Universităţii Politehnica Timişoara,  organizează miercuri, 12 februarie 2014, o serie de prezentări şi discuţii sub tema &#8220;Parteneriatele în cercetare şi inovare &#8211; calea spre o dezvoltare economică regională&#8221;. Mai multe informaţii despre manifestare puteţi găsi în programul conferinţei sau [...]",EVENIMENT
UPT premiată la PRO INVENT 2014,"În perioada 19-21 martie 2014 la Cluj-Napoca, Universitatea Politehnica Timișoara a participat la cea de-a XII-a ediție a  Salonului Internațional al Cercetării, Inovării și Inventicii PRO INVENT 2014. Standul UPT, care a  cuprins prezentări şi informaţii legate de brevete înregistrate şi cereri, mărci şi noi tehnologii dezvoltate, a fost vizitat și apreciat de numeroși vizitatori. [...]",EVENIMENT
Politehnica Timișoara – un pas spre viitorul tău!,"Universitatea Politehnica Timișoara organizează, în perioada 28 – 30 martie 2014, prima ediție a manifestării „Politehnica Timișoara – un pas spre viitorul tău!”. Proiectul aduce în UPT peste 800 de elevi din 20 de județe ale țării și are ca obiective principale informarea și familiarizarea elevilor cu mediul universitar în scopul asigurării unei bune tranziții [...]",EVENIMENT
